爱和谊 ai'he'yi
森林与湿地保护 sen'lin'yu'shi'di'bao'hu
杀跌 sha'die
沙钢 sha'gang
沙隆达 sha'long'da
莎莎国际 sha'sha'guo'ji
沙特电信 sha'te'dian'xin
杉本和行 shan'ben'he'xing
山东大成农药股份有限公司 shan'dong'da'cheng'nong'yao'gu'fen'you'xian'gong'si
山东金乡 shan'dong'jin'xiang
山东经济 shan'dong'jing'ji
山东市场 shan'dong'shi'chang
山东淄博 shan'dong'zi'bo
山钢 shan'gang
山河智能 shan'he'zhi'neng
闪屏 shan'ping
山参 shan'shen
山推股份 shan'tui'gu'fen
山西分行 shan'xi'fen'hang
陕西汉阴 shan'xi'han'yin
山西孝义 shan'xi'xiao'yi
山西运城 shan'xi'yun'cheng
陕西正大 shan'xi'zheng'da
上半年发电量 shang'ban'nian'fa'dian'liang
上半年通缩 shang'ban'nian'tong'suo
上半年业绩 shang'ban'nian'ye'ji
上报国务院 shang'bao'guo'wu'yuan
商标质押 shang'biao'zhi'ya
上冲 shang'chong
上触 shang'chu
上次报告 shang'ci'bao'gao
上次降息 shang'ci'jiang'xi
上次预期 shang'ci'yu'qi
上档 shang'dang
尚德 shang'de
上方阻力 shang'fang'zu'li
上风高科 shang'feng'gao'ke
尚福林 shang'fu'lin
上港集团 shang'gang'ji'tuan
上攻 shang'gong
上攻行情 shang'gong'hang'qing
上海车展 shang'hai'che'zhan
上海迪士尼 shang'hai'di'shi'ni
上海迪士尼项目 shang'hai'di'shi'ni'xiang'mu
上海房价 shang'hai'fang'jia
上海工行 shang'hai'gong'hang
上海股 shang'hai'gu
上海国际 shang'hai'guo'ji
上海国企 shang'hai'guo'qi
上海国税局 shang'hai'guo'shui'ju
上海国资 shang'hai'guo'zi
上海合作组织 shang'hai'he'zuo'zu'zhi
上海黄金 shang'hai'huang'jin
上海机场 shang'hai'ji'chang
上海金价 shang'hai'jin'jia
上海金陵 shang'hai'jin'ling
上海金鹏 shang'hai'jin'peng
上海金融交易广场 shang'hai'jin'rong'jiao'yi'guang'chang
上海口岸 shang'hai'kou'an
上海宽频科技股份有限公司 shang'hai'kuan'pin'ke'ji'gu'fen'you'xian'gong'si
上海莱士血液制品股份有限公司 shang'hai'lai'shi'xue'ye'zhi'pin'gu'fen'you'xian'gong'si
上海楼市 shang'hai'lou'shi
上海螺纹钢 shang'hai'luo'wen'gang
上海汽车 shang'hai'qi'che
上海期货交易所 shang'hai'qi'huo'jiao'yi'suo
上海期金 shang'hai'qi'jin
上海期铜 shang'hai'qi'tong
上海世博会 shang'hai'shi'bo'hui
上海市场 shang'hai'shi'chang
上海市委 shang'hai'shi'wei
上海市医药股份有限公司 shang'hai'shi'yi'yao'gu'fen'you'xian'gong'si
上海锌 shang'hai'xin
上海新黄浦置业股份有限公司 shang'hai'xin'huang'pu'zhi'ye'gu'fen'you'xian'gong'si
上海玉米 shang'hai'yu'mi
上海证券 shang'hai'zheng'quan
上海证券报 shang'hai'zheng'quan'bao
上海证券交易所 shang'hai'zheng'quan'jiao'yi'suo
上海中期 shang'hai'zhong'qi
上航 shang'hang
上会 shang'hui
上会公司 shang'hui'gong'si
上缴比例 shang'jiao'bi'li
上缴国税 shang'jiao'guo'shui
上交所 shang'jiao'suo
商界巨头 shang'jie'ju'tou
上看 shang'kan
上年末 shang'nian'mo
商品房 shang'pin'fang
商品房预售制度 shang'pin'fang'yu'shou'zhi'du
商品货币 shang'pin'huo'bi
商品价格 shang'pin'jia'ge
商品期货 shang'pin'qi'huo
商品住宅 shang'pin'zhu'zhai
上破 shang'po
上汽 shang'qi
上期所 shang'qi'suo
上日收盘价 shang'ri'shou'pan'jia
上升到 shang'sheng'dao

上升股 shang'sheng'gu
上升空间 shang'sheng'kong'jian
上升趋势 shang'sheng'qu'shi
上升趋势线 shang'sheng'qu'shi'xian
上升势头 shang'sheng'shi'tou
上升通道 shang'sheng'tong'dao
上升至 shang'sheng'zhi
上实 shang'shi
上试 shang'shi
上市传闻 shang'shi'chuan'wen
上市房企 shang'shi'fang'qi
上市公司 shang'shi'gong'si
上市公司公告 shang'shi'gong'si'gong'gao
上市公司股票 shang'shi'gong'si'gu'piao
上市公司提示 shang'shi'gong'si'ti'shi
上市规则 shang'shi'gui'ze
上市交易 shang'shi'jiao'yi
上市流通 shang'shi'liu'tong
上市平台 shang'shi'ping'tai
上市申请 shang'shi'shen'qing
上市首日 shang'shi'shou'ri
上市委员会 shang'shi'wei'yuan'hui
上市细则 shang'shi'xi'ze
上市银行 shang'shi'yin'hang
上调 shang'tiao
上调幅度 shang'tiao'fu'du
上调钢价 shang'tiao'gang'jia
上调价格 shang'tiao'jia'ge
上调空间 shang'tiao'kong'jian
上调水价 shang'tiao'shui'jia
上调为 shang'tiao'wei
上调压力 shang'tiao'ya'li
上调油价 shang'tiao'you'jia
上调至 shang'tiao'zhi
上投阿尔法 shang'tou'a'er'fa
上投成长 shang'tou'cheng'zhang
上投摩根基金管理有限公司 shang'tou'mo'gen'ji'jin'guan'li'you'xian'gong'si
上投内需动力 shang'tou'nei'xu'dong'li
上投双息 shang'tou'shuang'xi
上投优势 shang'tou'you'shi
上网本 shang'wang'ben
尚未报批 shang'wei'bao'pi
商务部 shang'wu'bu
商务部长 shang'wu'bu'zhang
商务厅 shang'wu'ting
商务信息 shang'wu'xin'xi
上下两难 shang'xia'liang'nan
上行 shang'xing
上行乏力 shang'xing'fa'li
上行空间 shang'xing'kong'jian
上行趋势 shang'xing'qu'shi
上行趋势线 shang'xing'qu'shi'xian
尚需时日 shang'xu'shi'ri
上扬趋势 shang'yang'qu'shi
商业保险 shang'ye'bao'xian
商业车保险 shang'ye'che'bao'xian
商业地产 shang'ye'di'chan
商业服务中心 shang'ye'fu'wu'zhong'xin
商业环境 shang'ye'huan'jing
商业贿赂罪 shang'ye'hui'lu'zui
商业机密 shang'ye'ji'mi
商业间谍 shang'ye'jian'die
商业库存 shang'ye'ku'cun
商业秘密 shang'ye'mi'mi
商业票据 shang'ye'piao'ju
商业票据市场 shang'ye'piao'ju'shi'chang
商业欺诈 shang'ye'qi'zha
商业投资 shang'ye'tou'zi
商业信心 shang'ye'xin'xin
商业信心指数 shang'ye'xin'xin'zhi'shu
商业银行 shang'ye'yin'hang
商业银行超额准备金 shang'ye'yin'hang'chao'e'zhun'bei'jin
商业运作 shang'ye'yun'zuo
商业周刊 shang'ye'zhou'kan
商业周期测定委员会 shang'ye'zhou'qi'ce'ding'wei'yuan'hui
商用不动产贷款 shang'yong'bu'dong'chan'dai'kuan
商用车 shang'yong'che
商用车企 shang'yong'che'qi
商用车市场 shang'yong'che'shi'chang
商用地产市场 shang'yong'di'chan'shi'chang
商用放号 shang'yong'fang'hao
商用市场 shang'yong'shi'chang
上游成本 shang'you'cheng'ben
上游资源品 shang'you'zi'yuan'pin
商誉资本规定 shang'yu'zi'ben'gui'ding
上月业绩 shang'yue'ye'ji
上涨动力 shang'zhang'dong'li
上涨行情 shang'zhang'hang'qing
上涨近 shang'zhang'jin
上涨空间 shang'zhang'kong'jian
上涨趋势 shang'zhang'qu'shi
上涨压力 shang'zhang'ya'li
上涨至 shang'zhang'zhi
上证报 shang'zheng'bao
上证国债指数 shang'zheng'guo'zhai'zhi'shu
上证所 shang'zheng'suo
上证指数 shang'zheng'zhi'shu
上证综指 shang'zheng'zong'zhi
上周宣布 shang'zhou'xuan'bu
上周一 shang'zhou'yi
韶钢松山 shao'gang'song'shan
少数城市 shao'shu'cheng'shi
少赚 shao'zhuan
涉案金额 she'an'jin'e
涉案人 she'an'ren
社保 she'bao
社保基金 she'bao'ji'jin
社保体系 she'bao'ti'xi
设备产能 she'bei'chan'neng
奢侈品牌 she'chi'pin'pai
奢侈品税 she'chi'pin'shui
奢侈品消费国 she'chi'pin'xiao'fei'guo
奢侈品业 she'chi'pin'ye
奢侈税 she'chi'shui
设定大陆架 she'ding'da'lu'jia
社会保障 she'hui'bao'zhang
社会保障局 she'hui'bao'zhang'ju
社会保障网络 she'hui'bao'zhang'wang'luo
社会承受能力 she'hui'cheng'shou'neng'li
社会公众 she'hui'gong'zhong
社会累计用电量 she'hui'lei'ji'yong'dian'liang
社会责任 she'hui'ze'ren
社会责任指数 she'hui'ze'ren'zhi'shu
社会主义现代化 she'hui'zhu'yi'xian'dai'hua
社会资本 she'hui'zi'ben
社会资金 she'hui'zi'jin
涉及金额 she'ji'jin'e
社科院 she'ke'yuan
社科院黄皮书 she'ke'yuan'huang'pi'shu
社科院美国所 she'ke'yuan'mei'guo'suo
社科院专家 she'ke'yuan'zhuan'jia
社区金融机构 she'qu'jin'rong'ji'gou
申奥 shen'ao
深成指 shen'cheng'zhi
深度解释 shen'du'jie'shi
深发展 shen'fa'zhan
深感担忧 shen'gan'dan'you
身高标准 shen'gao'biao'zhun
深高速 shen'gao'su
申购费率 shen'gou'fei'lv
申购结果 shen'gou'jie'guo
申购日 shen'gou'ri
申购套餐 shen'gou'tao'can
申购指南 shen'gou'zhi'nan
深国商 shen'guo'shang
沈鹤庭 shen'he'ting
深鸿基 shen'hong'ji
深沪两市 shen'hu'liang'shi
神华 shen'hua
深化和蔓延 shen'hua'he'man'yan
神火股份 shen'huo'gu'fen
审计署 shen'ji'shu
深交所 shen'jiao'suo
神开股份 shen'kai'gu'fen
深南电 shen'nan'dian
审批方面 shen'pi'fang'mian
申请获批 shen'qing'huo'pi
申请破产 shen'qing'po'chan
申请条件 shen'qing'tiao'jian
深市 shen'shi
深市上市公司 shen'shi'shang'shi'gong'si
申万 shen'wan
申万巴黎基金管理有限公司 shen'wan'ba'li'ji'jin'guan'li'you'xian'gong'si
申万盛利精选 shen'wan'sheng'li'jing'xuan
申万盛利强化 shen'wan'sheng'li'qiang'hua
申万新动力 shen'wan'xin'dong'li
申万新经济 shen'wan'xin'jing'ji
沈阳分行 shen'yang'fen'hang
申银万国 shen'yin'wan'guo
深圳高速公路股份有限公司 shen'zhen'gao'su'gong'lu'gu'fen'you'xian'gong'si
深圳华强 shen'zhen'hua'qiang
深圳火车站 shen'zhen'huo'che'zhan
深圳劲嘉彩印集团股份有限公司 shen'zhen'jin'jia'cai'yin'ji'tuan'gu'fen'you'xian'gong'si
深圳口岸 shen'zhen'kou'an
深圳龙嘉 shen'zhen'long'jia
深圳诺普信农化股份有限公司 shen'zhen'nuo'pu'xin'nong'hua'gu'fen'you'xian'gong'si
深圳市实益达科技股份有限公司 shen'zhen'shi'shi'yi'da'ke'ji'gu'fen'you'xian'gong'si
深圳证监局 shen'zhen'zheng'jian'ju
深圳证券交易所 shen'zhen'zheng'quan'jiao'yi'suo
深证成指 shen'zheng'cheng'zhi
深指 shen'zhi
甚至可能 shen'zhi'ke'neng
神州数码 shen'zhou'shu'ma
神州泰岳 shen'zhou'tai'yue
生产多少 sheng'chan'duo'shao
生产和开发 sheng'chan'he'kai'fa
生产经营情况 sheng'chan'jing'ying'qing'kuang
生产能力 sheng'chan'neng'li
生产商 sheng'chan'shang
生产什么 sheng'chan'shen'me
生产许可证 sheng'chan'xu'ke'zheng
生产者物价指数 sheng'chan'zhe'wu'jia'zhi'shu
生产资料价格 sheng'chan'zi'liao'jia'ge
升穿 sheng'chuan
升幅 sheng'fu
升幅低于 sheng'fu'di'yu
升幅扩大 sheng'fu'kuo'da
升格为 sheng'ge'wei
生活保障 sheng'huo'bao'zhang
生活必需品 sheng'huo'bi'xu'pin
生活成本 sheng'huo'cheng'ben
生活水平 sheng'huo'shui'ping
胜利股份 sheng'li'gu'fen
升势 sheng'shi
省市数据 sheng'shi'shu'ju
圣斯伯里 sheng'si'bo'li
生态文明 sheng'tai'wen'ming
升贴水 sheng'tie'shui
升贴水报价 sheng'tie'shui'bao'jia
升温 sheng'wen
生物制药 sheng'wu'zhi'yao
生意宝 sheng'yi'bao
升逾 sheng'yu
剩余时间 sheng'yu'shi'jian
省长职务 sheng'zhang'zhi'wu
升至 sheng'zhi
升至纪录高位 sheng'zhi'ji'lu'gao'wei
升值压力 sheng'zhi'ya'li
生猪价格 sheng'zhu'jia'ge
十八年 shi'ba'nian
世博 shi'bo
世博会 shi'bo'hui
世博上海 shi'bo'shang'hai
世博银条 shi'bo'yin'tiao
市场表现 shi'chang'biao'xian
市场波动 shi'chang'bo'dong
市场传闻 shi'chang'chuan'wen
市场撮合 shi'chang'cuo'he
市场份额 shi'chang'fen'e
市场复苏 shi'chang'fu'su
市场改善 shi'chang'gai'shan
市场规范 shi'chang'gui'fan
市场化 shi'chang'hua
市场化方向 shi'chang'hua'fang'xiang
市场环境 shi'chang'huan'jing
市场回暖 shi'chang'hui'nuan
市场机制 shi'chang'ji'zhi
市场价 shi'chang'jia
市场价格 shi'chang'jia'ge
市场建筑钢材价格 shi'chang'jian'zhu'gang'cai'jia'ge
市场结构 shi'chang'jie'gou
市场禁入 shi'chang'jin'ru
市场经济 shi'chang'jing'ji
市场经济地位 shi'chang'jing'ji'di'wei
市场利率 shi'chang'li'lv
市场流动性 shi'chang'liu'dong'xing
市场趋势 shi'chang'qu'shi
市场日报 shi'chang'ri'bao
市场体系 shi'chang'ti'xi
市场拓展计划 shi'chang'tuo'zhan'ji'hua
市场萎缩 shi'chang'wei'suo
市场信息 shi'chang'xin'xi
市场信心 shi'chang'xin'xin
市场需求 shi'chang'xu'qiu
市场压力 shi'chang'ya'li
市场预期 shi'chang'yu'qi
市场预期为 shi'chang'yu'qi'wei
市场主体 shi'chang'zhu'ti
市场转暖 shi'chang'zhuan'nuan
市场资金 shi'chang'zi'jin
市场总监 shi'chang'zong'jian
市场走势 shi'chang'zou'shi
十大行业 shi'da'hang'ye
十大机构 shi'da'ji'gou
时代广场 shi'dai'guang'chang
时代科技 shi'dai'ke'ji
适当提高 shi'dang'ti'gao
适当微调 shi'dang'wei'tiao
适当行动 shi'dang'xing'dong
史蒂文斯 shi'di'wen'si
试点 shi'dian
试点工作 shi'dian'gong'zuo
试点企业 shi'dian'qi'ye
试点省份 shi'dian'sheng'fen
适度监管 shi'du'jian'guan
适度宽松 shi'du'kuan'song


适度宽松货币政策 shi'du'kuan'song'huo'bi'zheng'ce
时段高点 shi'duan'gao'dian
时段新低 shi'duan'xin'di
时段新高 shi'duan'xin'gao
十二五 shi'er'wu
示范工程 shi'fan'gong'cheng
示范区 shi'fan'qu
十分缓慢 shi'fen'huan'man
是否过剩 shi'fou'guo'sheng
是否加息 shi'fou'jia'xi
十个月高位 shi'ge'yue'gao'wei
时寒冰 shi'han'bing
世行 shi'hang
世行行长 shi'hang'hang'zhang
世华财讯 shi'hua'cai'xun
石化产业 shi'hua'chan'ye
石化股 shi'hua'gu
石化行业 shi'hua'hang'ye
石化巨头 shi'hua'ju'tou
石化双熊 shi'hua'shuang'xiong
石化双雄 shi'hua'shuang'xiong
石化业 shi'hua'ye
实际个人可支配收入 shi'ji'ge'ren'ke'zhi'pei'shou'ru
实际个人可支配收入增长率 shi'ji'ge'ren'ke'zhi'pei'shou'ru'zeng'zhang'lv
实际国内生产总值 shi'ji'guo'nei'sheng'chan'zong'zhi
实际减持量 shi'ji'jian'chi'liang
实际控制人 shi'ji'kong'zhi'ren
实际使用外资 shi'ji'shi'yong'wai'zi
实际收入 shi'ji'shou'ru
世基投资 shi'ji'tou'zi
实际增 shi'ji'zeng
实际增长率 shi'ji'zeng'zhang'lv
实际最终销售数字 shi'ji'zui'zhong'xiao'shou'shu'zi
时间窗 shi'jian'chuang
世界次序 shi'jie'ci'xu
世界第 shi'jie'di
世界第二 shi'jie'di'er
世界第二大经济体 shi'jie'di'er'da'jing'ji'ti
世界各国 shi'jie'ge'guo
世界工厂 shi'jie'gong'chang
世界黄金协会 shi'jie'huang'jin'xie'hui
世界金融危机 shi'jie'jin'rong'wei'ji
世界经合组织 shi'jie'jing'he'zu'zhi
世界经济 shi'jie'jing'ji
世界经济峰会 shi'jie'jing'ji'feng'hui
世界经济形势 shi'jie'jing'ji'xing'shi
世界经济总量 shi'jie'jing'ji'zong'liang
世界领袖 shi'jie'ling'xiu
世界品牌 shi'jie'pin'pai
世界前列 shi'jie'qian'lie
世界银行 shi'jie'yin'hang
世界银行副行长 shi'jie'yin'hang'fu'hang'zhang
世界银行中国局 shi'jie'yin'hang'zhong'guo'ju
世界猪肉大会 shi'jie'zhu'rou'da'hui
士兰微 shi'lan'wei
是利好 shi'li'hao
世联地产 shi'lian'di'chan
施罗德 shi'luo'de
世贸专家组 shi'mao'zhuan'jia'zu
实名预约挂号 shi'ming'yu'yue'gua'hao
实名制车票 shi'ming'zhi'che'piao
石脑油 shi'nao'you
十年合作 shi'nian'he'zuo
十年来 shi'nian'lai
食品安全 shi'pin'an'quan
食品安全法实施条例 shi'pin'an'quan'fa'shi'shi'tiao'li
食品出口 shi'pin'chu'kou
食品广告 shi'pin'guang'gao
食品和产品安全 shi'pin'he'chan'pin'an'quan
食品和能源 shi'pin'he'neng'yuan
视频监控市场 shi'pin'jian'kong'shi'chang
食品类 shi'pin'lei
食品添加剂 shi'pin'tian'jia'ji
食品饮料业 shi'pin'yin'liao'ye
十期 shi'qi
十七届 shi'qi'jie
十七届四中全会 shi'qi'jie'si'zhong'quan'hui
十日均线 shi'ri'jun'xian
试商用 shi'shang'yong
史上最大 shi'shang'zui'da
实施裁员 shi'shi'cai'yuan
石狮口岸 shi'shi'kou'an
实施零关税 shi'shi'ling'guan'shui
实施目标 shi'shi'mu'biao
适时启动 shi'shi'qi'dong
实施期限 shi'shi'qi'xian
适时调节 shi'shi'tiao'jie
实施细则 shi'shi'xi'ze
实施效果 shi'shi'xiao'guo
事实依据 shi'shi'yi'ju
试水 shi'shui
食糖行业 shi'tang'hang'ye
食糖价格 shi'tang'jia'ge
实体经济 shi'ti'jing'ji
实体经济危机 shi'ti'jing'ji'wei'ji
视为无效 shi'wei'wu'xiao
实现净利 shi'xian'jing'li
实现利润 shi'xian'li'run
实现零关税 shi'xian'ling'guan'shui
实现收入 shi'xian'shou'ru
实现赢利 shi'xian'ying'li
事项公告 shi'xiang'gong'gao
实行货币政策 shi'xing'huo'bi'zheng'ce
实验基地 shi'yan'ji'di
失业救济 shi'ye'jiu'ji
失业救济金 shi'ye'jiu'ji'jin
失业率 shi'ye'lv
失业率会达到 shi'ye'lv'hui'da'dao
失业率上升 shi'ye'lv'shang'sheng
失业率升至 shi'ye'lv'sheng'zhi
失业率为 shi'ye'lv'wei
失业人口 shi'ye'ren'kou
失业人数 shi'ye'ren'shu
失业人员 shi'ye'ren'yuan
失业上升 shi'ye'shang'sheng
失业数据 shi'ye'shu'ju
失业增加 shi'ye'zeng'jia
十一长假 shi'yi'chang'jia
使用效率 shi'yong'xiao'lv
食用油价格 shi'yong'you'jia'ge
石油等 shi'you'deng
石油公司 shi'you'gong'si
石油股 shi'you'gu
石油济柴 shi'you'ji'chai
石油开采 shi'you'kai'cai
石油类股 shi'you'lei'gu
石油商 shi'you'shang
石油生产方 shi'you'sheng'chan'fang
石油省份 shi'you'sheng'fen
市值排名 shi'zhi'pai'ming
市值缩水 shi'zhi'suo'shui
市值已 shi'zhi'yi
实质意义 shi'zhi'yi'yi
十字线 shi'zi'xian
十字星 shi'zi'xing
收报 shou'bao
首标 shou'biao
收藏型金条 shou'cang'xing'jin'tiao
首超 shou'chao
收储计划 shou'chu'ji'hua
首创期货 shou'chuang'qi'huo
首次并购 shou'ci'bing'gou
首次处罚 shou'ci'chu'fa
首次对 shou'ci'dui
首次发布 shou'ci'fa'bu
首次发审会 shou'ci'fa'shen'hui
首次发行 shou'ci'fa'xing
首次公开募股 shou'ci'gong'kai'mu'gu
首次回升 shou'ci'hui'sheng
首次降息 shou'ci'jiang'xi
首次经济衰退 shou'ci'jing'ji'shuai'tui
首次亮相 shou'ci'liang'xiang
首次明确 shou'ci'ming'que
首次上调 shou'ci'shang'tiao
首次申请 shou'ci'shen'qing
首次升息 shou'ci'sheng'xi
首次下跌 shou'ci'xia'die
首次下滑 shou'ci'xia'hua
首次下调利率 shou'ci'xia'tiao'li'lv
首次向 shou'ci'xiang
首次增长 shou'ci'zeng'zhang
首单 shou'dan
受到处罚 shou'dao'chu'fa
收低 shou'di
受调查 shou'diao'cha
收跌 shou'die
首度跌破 shou'du'die'po
首度回应 shou'du'hui'ying
首都机场 shou'du'ji'chang
首度亏损 shou'du'kui'sun
首度上调 shou'du'shang'tiao
首度引入 shou'du'yin'ru
首发 shou'fa
首发机构配售股份 shou'fa'ji'gou'pei'shou'gu'fen
首发价 shou'fa'jia
首发价格 shou'fa'jia'ge
首发战略配售股份 shou'fa'zhan'lue'pei'shou'gu'fen
受罚者 shou'fa'zhe
收房 shou'fang
收费标准 shou'fei'biao'zhun
收费公路运营公司 shou'fei'gong'lu'yun'ying'gong'si
收费类物业 shou'fei'lei'wu'ye
首份 shou'fen
首付 shou'fu
首付比例 shou'fu'bi'li
首钢 shou'gang
收高 shou'gao
首个项目 shou'ge'xiang'mu
收购壁垒 shou'gou'bi'lei
收购不良资产 shou'gou'bu'liang'zi'chan
收购股权 shou'gou'gu'quan
收购悍马 shou'gou'han'ma
收购兼并 shou'gou'jian'bing
收购金额 shou'gou'jin'e
收购扩张 shou'gou'kuo'zhang
收购物业 shou'gou'wu'ye
收购要约 shou'gou'yao'yue
受关注 shou'guan'zhu
收归国有 shou'gui'guo'you
售后服务 shou'hou'fu'wu
首获 shou'huo
收获时节 shou'huo'shi'jie
首季 shou'ji
手机话费 shou'ji'hua'fei
首季净利 shou'ji'jing'li
手机市场 shou'ji'shi'chang
手机实名 shou'ji'shi'ming
手机销量 shou'ji'xiao'liang
收缴代理 shou'jiao'dai'li
收紧 shou'jin
收紧房贷 shou'jin'fang'dai
收紧流动性 shou'jin'liu'dong'xing
首开股份 shou'kai'gu'fen
收绿 shou'lv
首旅 shou'lv
首脑人物 shou'nao'ren'wu
收年费 shou'nian'fei
收盘报 shou'pan'bao
收盘持平 shou'pan'chi'ping
收盘点评 shou'pan'dian'ping
收盘高位 shou'pan'gao'wei
收盘快评 shou'pan'kuai'ping
收盘上扬 shou'pan'shang'yang
收盘下挫 shou'pan'xia'cuo
收盘下跌 shou'pan'xia'die
收盘新高 shou'pan'xin'gao
收盘走低 shou'pan'zou'di
收盘走高 shou'pan'zou'gao
首批 shou'pi
首批申购 shou'pi'shen'gou
首批申请创业板企业 shou'pi'shen'qing'chuang'ye'ban'qi'ye
收平 shou'ping
收评 shou'ping
首破 shou'po
首破万点 shou'po'wan'dian
首签 shou'qian
首日大涨 shou'ri'da'zhang
首日实行 shou'ri'shi'xing
首日涨 shou'ri'zhang
收入差距 shou'ru'cha'ju
收入分配 shou'ru'fen'pei
收入分配问题 shou'ru'fen'pei'wen'ti
收入增加 shou'ru'zeng'jia
收市跌 shou'shi'die
收市下跌 shou'shi'xia'die
受损者 shou'sun'zhe
首推 shou'tui
受托支付 shou'tuo'zhi'fu
守稳 shou'wen
首席分析师 shou'xi'fen'xi'shi
首席顾问 shou'xi'gu'wen
首席经济学家 shou'xi'jing'ji'xue'jia
首席美国经济学家 shou'xi'mei'guo'jing'ji'xue'jia
首席营销官 shou'xi'ying'xiao'guan
首席执行官 shou'xi'zhi'xing'guan
受限 shou'xian
首现 shou'xian
受限额 shou'xian'e
收效甚微 shou'xiao'shen'wei
授信 shou'xin
受压 shou'ya
首要任务 shou'yao'ren'wu
首要指标 shou'yao'zhi'biao
收益 shou'yi
收益超 shou'yi'chao
收益风险 shou'yi'feng'xian
受益个股 shou'yi'ge'gu
受益股 shou'yi'gu
受益股全览 shou'yi'gu'quan'lan
受益股一览 shou'yi'gu'yi'lan
受益行业 shou'yi'hang'ye
收益季报 shou'yi'ji'bao
收益结转公告 shou'yi'jie'zhuan'gong'gao
收益率上升 shou'yi'lv'shang'sheng
收益率数据 shou'yi'lv'shu'ju
收益率下跌 shou'yi'lv'xia'die
收益率下降 shou'yi'lv'xia'jiang
收阴 shou'yin
受影响 shou'ying'xiang
受影响股 shou'ying'xiang'gu
收于 shou'yu
首予 shou'yu
收窄 shou'zhai
收窄至 shou'zhai'zhi
收涨 shou'zhang
收租股 shou'zu'gu
蔬菜报价信息 shu'cai'bao'jia'xin'xi
蔬菜批发市场 shu'cai'pi'fa'shi'chang
蔬菜日度价格行情 shu'cai'ri'du'jia'ge'hang'qing
赎回 shu'hui
赎回基金 shu'hui'ji'jin
数据不佳 shu'ju'bu'jia
数据仓库 shu'ju'cang'ku
数据发布 shu'ju'fa'bu
数据降幅 shu'ju'jiang'fu
数据印证 shu'ju'yin'zheng
纾困基金 shu'kun'ji'jin
熟练工人 shu'lian'gong'ren
输入性通胀 shu'ru'xing'tong'zhang
数十元 shu'shi'yuan
数字为 shu'zi'wei
衰退阶段 shuai'tui'jie'duan
率先复苏 shuai'xian'fu'su
双边经贸协调机制 shuang'bian'jing'mao'xie'tiao'ji'zhi
双边贸易 shuang'bian'mao'yi
双边贸易发展 shuang'bian'mao'yi'fa'zhan
双超 shuang'chao
双反 shuang'fan
双反案 shuang'fan'an
双反调查 shuang'fan'diao'cha
双反审查 shuang'fan'shen'cha
双轨制 shuang'gui'zhi
双汇发展 shuang'hui'fa'zhan
双节 shuang'jie
双料地王 shuang'liao'di'wang
双鹭药业 shuang'lu'yao'ye
双双反弹 shuang'shuang'fan'tan
双双下行 shuang'shuang'xia'xing
双塔食品 shuang'ta'shi'pin
双头形态 shuang'tou'xing'tai
水泵产品 shui'beng'chan'pin
水泵市场 shui'beng'shi'chang
水泵制造商 shui'beng'zhi'zao'shang
水产报价信息 shui'chan'bao'jia'xin'xi
水电火电 shui'dian'huo'dian
水电气缴费欠税 shui'dian'qi'jiao'fei'qian'shui
水电企业 shui'dian'qi'ye
水电资源 shui'dian'zi'yuan
税负公平感 shui'fu'gong'ping'gan
水钢 shui'gang
税后净利润 shui'hou'jing'li'run
水火电 shui'huo'dian
水价 shui'jia
水价成本 shui'jia'cheng'ben
水价上调 shui'jia'shang'tiao
水价调整 shui'jia'tiao'zheng
水利部 shui'li'bu
税率缴税 shui'lv'jiao'shui
水泥板块 shui'ni'ban'kuai
水泥行业 shui'ni'hang'ye
水泥审批红线 shui'ni'shen'pi'hong'xian
水皮 shui'pi
税前扣除 shui'qian'kou'chu
税前数据 shui'qian'shu'ju
税收管理 shui'shou'guan'li
税收减免 shui'shou'jian'mian
税收清查 shui'shou'qing'cha
税收收入 shui'shou'shou'ru
税收优惠 shui'shou'you'hui
税收优惠政策 shui'shou'you'hui'zheng'ce
税收增幅 shui'shou'zeng'fu
水务改革 shui'wu'gai'ge
税务问题 shui'wu'wen'ti
税务新政 shui'wu'xin'zheng
税务总局 shui'wu'zong'ju
税制改革 shui'zhi'gai'ge
顺势触及 shun'shi'chu'ji
四百点 si'bai'dian
私车油费 si'che'you'fei
四川成渝 si'chuan'cheng'yu
四川宏达股份有限公司 si'chuan'hong'da'gu'fen'you'xian'gong'si
四川美丰 si'chuan'mei'feng
四川民企 si'chuan'min'qi
四措施 si'cuo'shi
四大报 si'da'bao
思达高科 si'da'gao'ke
四大行 si'da'hang
四大银行 si'da'yin'hang
斯蒂格利茨 si'di'ge'li'ci
司法体系 si'fa'ti'xi
私分国资 si'fen'guo'zi
四季度 si'ji'du
四季度业绩 si'ji'du'ye'ji
四季金条 si'ji'jin'tiao
思捷环球 si'jie'huan'qiu
四类股票 si'lei'gu'piao
四连阳 si'lian'yang
四连阴 si'lian'yin
饲料行业 si'liao'hang'ye
四领域 si'ling'yu
私募 si'mu
私募管理原则 si'mu'guan'li'yuan'ze
私募基金 si'mu'ji'jin
四千三百亿 si'qian'san'bai'yi
私人部门 si'ren'bu'men
私人股本 si'ren'gu'ben
私人资本 si'ren'zi'ben
四省区 si'sheng'qu
斯特恩 si'te'en
斯万 si'wan
四万亿 si'wan'yi
私营部门 si'ying'bu'men
